"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.63","43.68","TORONTO INTL A","6158731","2019-01-01","2019","01","01","","5.2","","-8.0","","-1.4","","19.4","","0.0","","0.6","","0.0","","0.6","","","","33","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2019-01-02","2019","01","02","","-0.5","","-9.3","","-4.9","","22.9","","0.0","","0.0","","3.6","","3.6","","0","T","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2019-01-03","2019","01","03","","0.8","","-2.8","","-1.0","","19.0","","0.0","","0.0","","0.2","","0.2","","3","","27","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2019-01-04","2019","01","04","","8.0","","-0.8","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","3","","24","","54",""
"-79.63","43.68","TORONTO INTL A","6158731","2019-01-05","2019","01","05","","4.0","","-1.7","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","0","T","30","","33",""
"-79.63","43.68","TORONTO INTL A","6158731","2019-01-06","2019","01","06","","4.0","","-7.3","","-1.7","","19.7","","0.0","","0.0","","0.0","T","0.0","T","","","34","","52",""
"-79.63","43.68","TORONTO INTL A","6158731","2019-01-07","2019","01","07","","5.7","","-8.4","","-1.4","","19.4","","0.0","","2.8","","0.0","T","2.8","","0","T","11","","63",""
"-79.63","43.68","TORONTO INTL A","6158731","2019-01-08","2019","01","08","","8.2","","2.4","","5.3","","12.7","","0.0","","3.8","","0.0","","3.8","","","","25","","50",""
"-79.63","43.68","TORONTO INTL A","6158731","2019-01-09","2019","01","09","","2.3","","-4.9","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","0","T","31","","71",""
"-79.63","43.68","TORONTO INTL A","6158731","2019-01-10","2019","01","10","","-4.6","","-11.4","","-8.0","","26.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","28","","61",""
"-79.63","43.68","TORONTO INTL A","6158731","2019-01-11","2019","01","11","","-7.5","","-13.8","","-10.7","","28.7","","0.0","","0.0","","0.0","","0.0","","0","T","35","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2019-01-12","2019","01","12","","-4.3","","-9.0","","-6.7","","24.7","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
