Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,070351,2008,05,04,,,
IDCJAC0010,070351,2008,05,05,,,
IDCJAC0010,070351,2008,05,06,,,
IDCJAC0010,070351,2008,05,07,,,
IDCJAC0010,070351,2008,05,08,,,
IDCJAC0010,070351,2008,05,09,,,
IDCJAC0010,070351,2008,05,10,,,
IDCJAC0010,070351,2008,05,11,,,
IDCJAC0010,070351,2008,05,12,,,
IDCJAC0010,070351,2008,05,13,,,
IDCJAC0010,070351,2008,05,14,,,
IDCJAC0010,070351,2008,05,15,,,
IDCJAC0010,070351,2008,05,16,,,
IDCJAC0010,070351,2008,05,17,,,
IDCJAC0010,070351,2008,05,18,,,
IDCJAC0010,070351,2008,05,19,,,
IDCJAC0010,070351,2008,05,20,,,
IDCJAC0010,070351,2008,05,21,,,
IDCJAC0010,070351,2008,05,22,,,
IDCJAC0010,070351,2008,05,23,,,
IDCJAC0010,070351,2008,05,24,,,
IDCJAC0010,070351,2008,05,25,,,
IDCJAC0010,070351,2008,05,26,,,
IDCJAC0010,070351,2008,05,27,,,
IDCJAC0010,070351,2008,05,28,,,
IDCJAC0010,070351,2008,05,29,,,
IDCJAC0010,070351,2008,05,30,,,
IDCJAC0010,070351,2008,05,31,,,
IDCJAC0010,070351,2008,06,01,,,
IDCJAC0010,070351,2008,06,02,,,
IDCJAC0010,070351,2008,06,03,,,
IDCJAC0010,070351,2008,06,04,,,
IDCJAC0010,070351,2008,06,05,,,
IDCJAC0010,070351,2008,06,06,,,
IDCJAC0010,070351,2008,06,07,,,
IDCJAC0010,070351,2008,06,08,,,
IDCJAC0010,070351,2008,06,09,,,
IDCJAC0010,070351,2008,06,10,,,
IDCJAC0010,070351,2008,06,11,,,
IDCJAC0010,070351,2008,06,12,,,
IDCJAC0010,070351,2008,06,13,,,
IDCJAC0010,070351,2008,06,14,,,
IDCJAC0010,070351,2008,06,15,,,
IDCJAC0010,070351,2008,06,16,,,
IDCJAC0010,070351,2008,06,17,,,
IDCJAC0010,070351,2008,06,18,,,
IDCJAC0010,070351,2008,06,19,,,
IDCJAC0010,070351,2008,06,20,,,
IDCJAC0010,070351,2008,06,21,,,
IDCJAC0010,070351,2008,06,22,,,
IDCJAC0010,070351,2008,06,23,,,
IDCJAC0010,070351,2008,06,24,,,
IDCJAC0010,070351,2008,06,25,,,
IDCJAC0010,070351,2008,06,26,,,
IDCJAC0010,070351,2008,06,27,,,
IDCJAC0010,070351,2008,06,28,,,
IDCJAC0010,070351,2008,06,29,,,
IDCJAC0010,070351,2008,06,30,,,
IDCJAC0010,070351,2008,07,01,,,
IDCJAC0010,070351,2008,07,02,,,
IDCJAC0010,070351,2008,07,03,,,
IDCJAC0010,070351,2008,07,04,,,
IDCJAC0010,070351,2008,07,05,,,
IDCJAC0010,070351,2008,07,06,,,
IDCJAC0010,070351,2008,07,07,,,
IDCJAC0010,070351,2008,07,08,,,
IDCJAC0010,070351,2008,07,09,,,
IDCJAC0010,070351,2008,07,10,,,
IDCJAC0010,070351,2008,07,11,,,
IDCJAC0010,070351,2008,07,12,,,
IDCJAC0010,070351,2008,07,13,,,
IDCJAC0010,070351,2008,07,14,,,
IDCJAC0010,070351,2008,07,15,,,
IDCJAC0010,070351,2008,07,16,,,
IDCJAC0010,070351,2008,07,17,,,
IDCJAC0010,070351,2008,07,18,,,
IDCJAC0010,070351,2008,07,19,,,
IDCJAC0010,070351,2008,07,20,,,
IDCJAC0010,070351,2008,07,21,,,
IDCJAC0010,070351,2008,07,22,,,
IDCJAC0010,070351,2008,07,23,,,
IDCJAC0010,070351,2008,07,24,,,
IDCJAC0010,070351,2008,07,25,,,
IDCJAC0010,070351,2008,07,26,,,
IDCJAC0010,070351,2008,07,27,,,
IDCJAC0010,070351,2008,07,28,,,
IDCJAC0010,070351,2008,07,29,,,
IDCJAC0010,070351,2008,07,30,,,
IDCJAC0010,070351,2008,07,31,,,
IDCJAC0010,070351,2008,08,01,,,
IDCJAC0010,070351,2008,08,02,,,
IDCJAC0010,070351,2008,08,03,,,
IDCJAC0010,070351,2008,08,04,,,
IDCJAC0010,070351,2008,08,05,,,
IDCJAC0010,070351,2008,08,06,,,
IDCJAC0010,070351,2008,08,07,,,
IDCJAC0010,070351,2008,08,08,,,
IDCJAC0010,070351,2008,08,09,,,
IDCJAC0010,070351,2008,08,10,,,
IDCJAC0010,070351,2008,08,11,,,
IDCJAC0010,070351,2008,08,12,,,
IDCJAC0010,070351,2008,08,13,,,
IDCJAC0010,070351,2008,08,14,,,
IDCJAC0010,070351,2008,08,15,,,
IDCJAC0010,070351,2008,08,16,,,
IDCJAC0010,070351,2008,08,17,,,
IDCJAC0010,070351,2008,08,18,,,
IDCJAC0010,070351,2008,08,19,,,
IDCJAC0010,070351,2008,08,20,,,
IDCJAC0010,070351,2008,08,21,,,
IDCJAC0010,070351,2008,08,22,,,
IDCJAC0010,070351,2008,08,23,,,
IDCJAC0010,070351,2008,08,24,,,
IDCJAC0010,070351,2008,08,25,,,
IDCJAC0010,070351,2008,08,26,,,
IDCJAC0010,070351,2008,08,27,,,
IDCJAC0010,070351,2008,08,28,,,
IDCJAC0010,070351,2008,08,29,,,
IDCJAC0010,070351,2008,08,30,,,
IDCJAC0010,070351,2008,08,31,,,
IDCJAC0010,070351,2008,09,01,,,
IDCJAC0010,070351,2008,09,02,,,
IDCJAC0010,070351,2008,09,03,,,
IDCJAC0010,070351,2008,09,04,,,
IDCJAC0010,070351,2008,09,05,,,
IDCJAC0010,070351,2008,09,06,,,
IDCJAC0010,070351,2008,09,07,,,
IDCJAC0010,070351,2008,09,08,,,
IDCJAC0010,070351,2008,09,09,,,
IDCJAC0010,070351,2008,09,10,,,
IDCJAC0010,070351,2008,09,11,,,
IDCJAC0010,070351,2008,09,12,,,
IDCJAC0010,070351,2008,09,13,,,
IDCJAC0010,070351,2008,09,14,,,
IDCJAC0010,070351,2008,09,15,,,
IDCJAC0010,070351,2008,09,16,,,
IDCJAC0010,070351,2008,09,17,,,
IDCJAC0010,070351,2008,09,18,,,
IDCJAC0010,070351,2008,09,19,23.6,1,N
IDCJAC0010,070351,2008,09,20,23.8,1,Y
IDCJAC0010,070351,2008,09,21,19.8,1,Y
IDCJAC0010,070351,2008,09,22,22.5,1,Y
IDCJAC0010,070351,2008,09,23,16.6,1,Y
IDCJAC0010,070351,2008,09,24,17.3,1,Y
IDCJAC0010,070351,2008,09,25,19.0,1,Y
IDCJAC0010,070351,2008,09,26,21.4,1,Y
IDCJAC0010,070351,2008,09,27,25.9,1,Y
IDCJAC0010,070351,2008,09,28,24.5,1,Y
IDCJAC0010,070351,2008,09,29,19.2,1,Y
IDCJAC0010,070351,2008,09,30,17.8,1,Y
IDCJAC0010,070351,2008,10,01,22.0,1,Y
IDCJAC0010,070351,2008,10,02,27.9,1,Y
IDCJAC0010,070351,2008,10,03,29.4,1,Y
IDCJAC0010,070351,2008,10,04,20.6,1,Y
IDCJAC0010,070351,2008,10,05,21.7,1,Y
IDCJAC0010,070351,2008,10,06,18.0,1,Y
IDCJAC0010,070351,2008,10,07,16.7,1,Y
IDCJAC0010,070351,2008,10,08,18.3,1,Y
IDCJAC0010,070351,2008,10,09,20.3,1,Y
IDCJAC0010,070351,2008,10,10,22.0,1,Y
IDCJAC0010,070351,2008,10,11,23.1,1,Y
IDCJAC0010,070351,2008,10,12,24.3,1,Y
IDCJAC0010,070351,2008,10,13,26.6,1,Y
IDCJAC0010,070351,2008,10,14,21.4,1,Y
IDCJAC0010,070351,2008,10,15,19.9,1,Y
IDCJAC0010,070351,2008,10,16,21.2,1,Y
IDCJAC0010,070351,2008,10,17,24.2,1,Y
IDCJAC0010,070351,2008,10,18,25.8,1,Y
IDCJAC0010,070351,2008,10,19,29.2,1,Y
IDCJAC0010,070351,2008,10,20,28.0,1,Y
IDCJAC0010,070351,2008,10,21,20.3,1,Y
IDCJAC0010,070351,2008,10,22,15.3,1,Y
IDCJAC0010,070351,2008,10,23,18.3,1,Y
IDCJAC0010,070351,2008,10,24,21.3,1,Y
IDCJAC0010,070351,2008,10,25,26.3,1,Y
IDCJAC0010,070351,2008,10,26,26.7,1,Y
IDCJAC0010,070351,2008,10,27,31.4,1,Y
IDCJAC0010,070351,2008,10,28,29.1,1,Y
IDCJAC0010,070351,2008,10,29,,,
IDCJAC0010,070351,2008,10,30,,,
IDCJAC0010,070351,2008,10,31,30.8,1,N
IDCJAC0010,070351,2008,11,01,21.6,1,Y
IDCJAC0010,070351,2008,11,02,25.5,1,Y
IDCJAC0010,070351,2008,11,03,23.9,1,Y
IDCJAC0010,070351,2008,11,04,20.8,1,Y
IDCJAC0010,070351,2008,11,05,21.0,1,Y
IDCJAC0010,070351,2008,11,06,26.4,1,Y
IDCJAC0010,070351,2008,11,07,21.2,1,Y
IDCJAC0010,070351,2008,11,08,18.9,1,Y
IDCJAC0010,070351,2008,11,09,23.3,1,Y
IDCJAC0010,070351,2008,11,10,26.8,1,Y
IDCJAC0010,070351,2008,11,11,27.7,1,Y
IDCJAC0010,070351,2008,11,12,30.3,1,Y
IDCJAC0010,070351,2008,11,13,31.1,1,Y
IDCJAC0010,070351,2008,11,14,33.6,1,Y
IDCJAC0010,070351,2008,11,15,27.9,1,Y
IDCJAC0010,070351,2008,11,16,24.7,1,Y
IDCJAC0010,070351,2008,11,17,24.8,1,Y
IDCJAC0010,070351,2008,11,18,22.0,1,Y
IDCJAC0010,070351,2008,11,19,22.7,1,Y
IDCJAC0010,070351,2008,11,20,23.1,1,Y
IDCJAC0010,070351,2008,11,21,23.2,1,Y
IDCJAC0010,070351,2008,11,22,13.0,1,Y
IDCJAC0010,070351,2008,11,23,16.3,1,Y
IDCJAC0010,070351,2008,11,24,22.4,1,Y
IDCJAC0010,070351,2008,11,25,19.7,1,Y
IDCJAC0010,070351,2008,11,26,21.5,1,Y
IDCJAC0010,070351,2008,11,27,28.9,1,Y
IDCJAC0010,070351,2008,11,28,26.3,1,Y
IDCJAC0010,070351,2008,11,29,23.7,1,Y
IDCJAC0010,070351,2008,11,30,21.4,1,Y
IDCJAC0010,070351,2008,12,01,25.1,1,Y
IDCJAC0010,070351,2008,12,02,24.7,1,Y
IDCJAC0010,070351,2008,12,03,25.9,1,Y
IDCJAC0010,070351,2008,12,04,24.6,1,Y
IDCJAC0010,070351,2008,12,05,29.5,1,Y
IDCJAC0010,070351,2008,12,06,29.3,1,Y
IDCJAC0010,070351,2008,12,07,26.5,1,Y
IDCJAC0010,070351,2008,12,08,26.9,1,Y
IDCJAC0010,070351,2008,12,09,29.2,1,Y
IDCJAC0010,070351,2008,12,10,24.2,1,Y
IDCJAC0010,070351,2008,12,11,22.5,1,Y
IDCJAC0010,070351,2008,12,12,21.8,1,Y
IDCJAC0010,070351,2008,12,13,23.6,1,Y
IDCJAC0010,070351,2008,12,14,19.8,1,Y
IDCJAC0010,070351,2008,12,15,24.3,1,Y
IDCJAC0010,070351,2008,12,16,24.7,1,Y
IDCJAC0010,070351,2008,12,17,25.5,1,Y
IDCJAC0010,070351,2008,12,18,25.0,1,Y
IDCJAC0010,070351,2008,12,19,21.6,1,Y
IDCJAC0010,070351,2008,12,20,21.3,1,Y
IDCJAC0010,070351,2008,12,21,24.8,1,Y
IDCJAC0010,070351,2008,12,22,28.9,1,Y
IDCJAC0010,070351,2008,12,23,26.1,1,Y
IDCJAC0010,070351,2008,12,24,20.3,1,Y
IDCJAC0010,070351,2008,12,25,28.8,1,Y
IDCJAC0010,070351,2008,12,26,30.7,1,Y
IDCJAC0010,070351,2008,12,27,28.9,1,Y
IDCJAC0010,070351,2008,12,28,29.7,1,Y
IDCJAC0010,070351,2008,12,29,27.0,1,Y
IDCJAC0010,070351,2008,12,30,21.6,1,Y
IDCJAC0010,070351,2008,12,31,23.8,1,Y
IDCJAC0010,070351,2009,01,01,26.9,1,Y
IDCJAC0010,070351,2009,01,02,24.5,1,Y
IDCJAC0010,070351,2009,01,03,25.8,1,Y
IDCJAC0010,070351,2009,01,04,30.7,1,Y
IDCJAC0010,070351,2009,01,05,31.6,1,Y
IDCJAC0010,070351,2009,01,06,34.6,1,Y
IDCJAC0010,070351,2009,01,07,36.5,1,Y
IDCJAC0010,070351,2009,01,08,27.1,1,Y
IDCJAC0010,070351,2009,01,09,21.9,1,Y
IDCJAC0010,070351,2009,01,10,24.9,1,Y
IDCJAC0010,070351,2009,01,11,29.6,1,Y
IDCJAC0010,070351,2009,01,12,27.8,1,Y
IDCJAC0010,070351,2009,01,13,33.9,1,Y
IDCJAC0010,070351,2009,01,14,37.8,1,Y
IDCJAC0010,070351,2009,01,15,38.2,1,Y
IDCJAC0010,070351,2009,01,16,29.8,1,Y
IDCJAC0010,070351,2009,01,17,25.5,1,Y
IDCJAC0010,070351,2009,01,18,29.4,1,Y
IDCJAC0010,070351,2009,01,19,33.5,1,Y
IDCJAC0010,070351,2009,01,20,34.5,1,Y
IDCJAC0010,070351,2009,01,21,34.2,1,Y
IDCJAC0010,070351,2009,01,22,29.8,1,Y
IDCJAC0010,070351,2009,01,23,31.8,1,Y
IDCJAC0010,070351,2009,01,24,29.3,1,Y
IDCJAC0010,070351,2009,01,25,27.6,1,Y
IDCJAC0010,070351,2009,01,26,31.4,1,Y
IDCJAC0010,070351,2009,01,27,32.1,1,Y
IDCJAC0010,070351,2009,01,28,35.3,1,Y
IDCJAC0010,070351,2009,01,29,37.5,1,Y
IDCJAC0010,070351,2009,01,30,37.4,1,Y
IDCJAC0010,070351,2009,01,31,38.7,1,Y
IDCJAC0010,070351,2009,02,01,32.9,1,Y
IDCJAC0010,070351,2009,02,02,35.1,1,Y
IDCJAC0010,070351,2009,02,03,31.8,1,Y
IDCJAC0010,070351,2009,02,04,34.1,1,Y
IDCJAC0010,070351,2009,02,05,37.8,1,Y
IDCJAC0010,070351,2009,02,06,40.3,1,Y
IDCJAC0010,070351,2009,02,07,40.3,1,Y
IDCJAC0010,070351,2009,02,08,40.3,1,Y
IDCJAC0010,070351,2009,02,09,26.8,1,Y
IDCJAC0010,070351,2009,02,10,23.7,1,Y
IDCJAC0010,070351,2009,02,11,23.5,1,Y
IDCJAC0010,070351,2009,02,12,16.9,1,Y
IDCJAC0010,070351,2009,02,13,19.5,1,Y
IDCJAC0010,070351,2009,02,14,20.1,1,Y
IDCJAC0010,070351,2009,02,15,23.0,1,Y
IDCJAC0010,070351,2009,02,16,21.6,1,Y
IDCJAC0010,070351,2009,02,17,21.3,1,Y
IDCJAC0010,070351,2009,02,18,25.3,1,Y
IDCJAC0010,070351,2009,02,19,31.4,1,Y
IDCJAC0010,070351,2009,02,20,30.2,1,Y
IDCJAC0010,070351,2009,02,21,27.9,1,Y
IDCJAC0010,070351,2009,02,22,28.2,1,Y
IDCJAC0010,070351,2009,02,23,31.0,1,Y
IDCJAC0010,070351,2009,02,24,32.1,1,Y
IDCJAC0010,070351,2009,02,25,32.4,1,Y
IDCJAC0010,070351,2009,02,26,27.0,1,Y
IDCJAC0010,070351,2009,02,27,30.5,1,Y
IDCJAC0010,070351,2009,02,28,34.9,1,Y
IDCJAC0010,070351,2009,03,01,29.4,1,Y
IDCJAC0010,070351,2009,03,02,27.8,1,Y
IDCJAC0010,070351,2009,03,03,26.5,1,Y
IDCJAC0010,070351,2009,03,04,22.8,1,Y
IDCJAC0010,070351,2009,03,05,22.2,1,Y
IDCJAC0010,070351,2009,03,06,24.1,1,Y
IDCJAC0010,070351,2009,03,07,27.9,1,Y
IDCJAC0010,070351,2009,03,08,24.8,1,Y
IDCJAC0010,070351,2009,03,09,26.6,1,Y
IDCJAC0010,070351,2009,03,10,28.2,1,Y
IDCJAC0010,070351,2009,03,11,26.2,1,Y
IDCJAC0010,070351,2009,03,12,28.7,1,Y
IDCJAC0010,070351,2009,03,13,25.6,1,Y
IDCJAC0010,070351,2009,03,14,27.7,1,Y
IDCJAC0010,070351,2009,03,15,21.7,1,Y
IDCJAC0010,070351,2009,03,16,21.9,1,Y
IDCJAC0010,070351,2009,03,17,24.5,1,Y
IDCJAC0010,070351,2009,03,18,27.4,1,Y
IDCJAC0010,070351,2009,03,19,29.1,1,Y
IDCJAC0010,070351,2009,03,20,30.6,1,Y
IDCJAC0010,070351,2009,03,21,30.1,1,Y
IDCJAC0010,070351,2009,03,22,30.7,1,Y
IDCJAC0010,070351,2009,03,23,31.2,1,Y
IDCJAC0010,070351,2009,03,24,32.4,1,Y
IDCJAC0010,070351,2009,03,25,31.9,1,Y
IDCJAC0010,070351,2009,03,26,28.9,1,Y
IDCJAC0010,070351,2009,03,27,25.4,1,Y
IDCJAC0010,070351,2009,03,28,27.6,1,Y
IDCJAC0010,070351,2009,03,29,29.9,1,Y
IDCJAC0010,070351,2009,03,30,24.5,1,Y
IDCJAC0010,070351,2009,03,31,23.2,1,Y
IDCJAC0010,070351,2009,04,01,21.6,1,Y
IDCJAC0010,070351,2009,04,02,23.5,1,Y
IDCJAC0010,070351,2009,04,03,29.3,1,Y
IDCJAC0010,070351,2009,04,04,21.4,1,Y
IDCJAC0010,070351,2009,04,05,22.4,1,Y
IDCJAC0010,070351,2009,04,06,21.1,1,Y
IDCJAC0010,070351,2009,04,07,21.1,1,Y
IDCJAC0010,070351,2009,04,08,22.0,1,Y
IDCJAC0010,070351,2009,04,09,23.6,1,Y
IDCJAC0010,070351,2009,04,10,22.0,1,Y
IDCJAC0010,070351,2009,04,11,24.2,1,Y
IDCJAC0010,070351,2009,04,12,23.7,1,Y
IDCJAC0010,070351,2009,04,13,20.4,1,Y
IDCJAC0010,070351,2009,04,14,22.1,1,Y
IDCJAC0010,070351,2009,04,15,23.4,1,Y
IDCJAC0010,070351,2009,04,16,19.5,1,Y
IDCJAC0010,070351,2009,04,17,20.9,1,Y
IDCJAC0010,070351,2009,04,18,22.2,1,Y
IDCJAC0010,070351,2009,04,19,20.1,1,Y
IDCJAC0010,070351,2009,04,20,17.7,1,Y
IDCJAC0010,070351,2009,04,21,17.9,1,Y
IDCJAC0010,070351,2009,04,22,19.2,1,Y
IDCJAC0010,070351,2009,04,23,19.9,1,Y
IDCJAC0010,070351,2009,04,24,16.8,1,Y
IDCJAC0010,070351,2009,04,25,15.2,1,Y
IDCJAC0010,070351,2009,04,26,11.9,1,Y
IDCJAC0010,070351,2009,04,27,11.1,1,Y
IDCJAC0010,070351,2009,04,28,14.2,1,Y
IDCJAC0010,070351,2009,04,29,13.0,1,Y
IDCJAC0010,070351,2009,04,30,16.4,1,Y
IDCJAC0010,070351,2009,05,01,16.6,1,Y
IDCJAC0010,070351,2009,05,02,18.0,1,Y
IDCJAC0010,070351,2009,05,03,18.6,1,Y
IDCJAC0010,070351,2009,05,04,19.1,1,Y
IDCJAC0010,070351,2009,05,05,18.3,1,Y
IDCJAC0010,070351,2009,05,06,17.3,1,Y
IDCJAC0010,070351,2009,05,07,17.3,1,Y
IDCJAC0010,070351,2009,05,08,17.6,1,Y
IDCJAC0010,070351,2009,05,09,19.9,1,Y
IDCJAC0010,070351,2009,05,10,17.3,1,Y
IDCJAC0010,070351,2009,05,11,16.6,1,Y
IDCJAC0010,070351,2009,05,12,16.7,1,Y
IDCJAC0010,070351,2009,05,13,16.0,1,Y
IDCJAC0010,070351,2009,05,14,13.9,1,Y
IDCJAC0010,070351,2009,05,15,14.2,1,Y
IDCJAC0010,070351,2009,05,16,15.9,1,Y
IDCJAC0010,070351,2009,05,17,16.4,1,Y
IDCJAC0010,070351,2009,05,18,17.1,1,Y
IDCJAC0010,070351,2009,05,19,18.4,1,Y
IDCJAC0010,070351,2009,05,20,16.2,1,Y
IDCJAC0010,070351,2009,05,21,16.9,1,Y
IDCJAC0010,070351,2009,05,22,15.9,1,Y
IDCJAC0010,070351,2009,05,23,18.2,1,Y
IDCJAC0010,070351,2009,05,24,18.4,1,Y
IDCJAC0010,070351,2009,05,25,18.6,1,Y
IDCJAC0010,070351,2009,05,26,14.4,1,Y
IDCJAC0010,070351,2009,05,27,17.3,1,Y
IDCJAC0010,070351,2009,05,28,15.1,1,Y
IDCJAC0010,070351,2009,05,29,12.7,1,Y
IDCJAC0010,070351,2009,05,30,14.1,1,Y
IDCJAC0010,070351,2009,05,31,14.2,1,Y
IDCJAC0010,070351,2009,06,01,13.1,1,Y
IDCJAC0010,070351,2009,06,02,15.9,1,Y
IDCJAC0010,070351,2009,06,03,14.5,1,Y
IDCJAC0010,070351,2009,06,04,13.2,1,Y
IDCJAC0010,070351,2009,06,05,15.5,1,Y
IDCJAC0010,070351,2009,06,06,13.1,1,Y
IDCJAC0010,070351,2009,06,07,11.6,1,Y
IDCJAC0010,070351,2009,06,08,12.7,1,Y
IDCJAC0010,070351,2009,06,09,9.3,1,Y
IDCJAC0010,070351,2009,06,10,9.5,1,Y
IDCJAC0010,070351,2009,06,11,9.1,1,Y
IDCJAC0010,070351,2009,06,12,4.1,1,Y
IDCJAC0010,070351,2009,06,13,12.1,1,Y
IDCJAC0010,070351,2009,06,14,14.0,1,Y
IDCJAC0010,070351,2009,06,15,12.9,1,Y
IDCJAC0010,070351,2009,06,16,13.2,1,Y
IDCJAC0010,070351,2009,06,17,14.4,1,Y
IDCJAC0010,070351,2009,06,18,13.1,1,Y
IDCJAC0010,070351,2009,06,19,15.0,1,Y
IDCJAC0010,070351,2009,06,20,15.0,1,Y
IDCJAC0010,070351,2009,06,21,13.7,1,Y
IDCJAC0010,070351,2009,06,22,13.1,1,Y
IDCJAC0010,070351,2009,06,23,10.5,1,Y
IDCJAC0010,070351,2009,06,24,13.4,1,Y
IDCJAC0010,070351,2009,06,25,12.8,1,Y
IDCJAC0010,070351,2009,06,26,12.8,1,Y
IDCJAC0010,070351,2009,06,27,15.2,1,Y
IDCJAC0010,070351,2009,06,28,14.5,1,Y
