"Year","Division 5"
"2006","17220.28"
"2007","17481.41"
"2008","17711.37"
"2009","17856.19"
"2010","17893.20"
"2011","18027.58"
"2012","17921.67"
"2013","17821.05"
"2014","17768.29"
"2015","17648.67"
"2016","17481.48"
"2017","17354.66"
"2018","17263.53"
"2019","17134.99"
