"Year","Division 6"
"2006","19163.36"
"2007","19375.24"
"2008","19712.16"
"2009","19715.40"
"2010","19915.00"
"2011","19874.80"
"2012","20099.12"
"2013","20497.92"
"2014","20690.08"
"2015","20885.56"
"2016","20987.52"
"2017","21197.04"
"2018","21293.00"
"2019","21401.64"
