"Year","Division 7"
"2006","17562.91"
"2007","17876.92"
"2008","18304.17"
"2009","18691.04"
"2010","19087.94"
"2011","19435.77"
"2012","19684.97"
"2013","19798.38"
"2014","19976.27"
"2015","19930.51"
"2016","19863.01"
"2017","19840.49"
"2018","19860.22"
"2019","19905.19"
