"Year","Division 2"
"2006","7190.54"
"2007","8004.18"
"2008","9218.28"
"2009","10159.44"
"2010","11078.12"
"2011","12142.12"
"2012","13546.66"
"2013","14696.42"
"2014","15827.24"
"2015","16787.12"
"2016","17603.88"
"2017","18482.22"
"2018","19109.42"
"2019","19667.06"
