"Year","Division 9"
"2006","17557.71"
"2007","17859.64"
"2008","18129.11"
"2009","18447.11"
"2010","18638.33"
"2011","18895.64"
"2012","18990.49"
"2013","18971.67"
"2014","18869.35"
"2015","18737.68"
"2016","18370.36"
"2017","18241.80"
"2018","17989.78"
"2019","17755.85"
