"Year","Division 1"
"2006","10499.46"
"2007","11330.82"
"2008","12567.72"
"2009","13694.56"
"2010","14442.88"
"2011","15273.88"
"2012","16059.34"
"2013","17040.58"
"2014","17980.76"
"2015","18624.88"
"2016","19182.12"
"2017","19771.78"
"2018","20254.58"
"2019","20759.94"
