"Year","Division 10"
"2006","14828.26"
"2007","15314.58"
"2008","15750.82"
"2009","16342.11"
"2010","16676.29"
"2011","16875.39"
"2012","17269.88"
"2013","17637.84"
"2014","17972.84"
"2015","18237.19"
"2016","18413.41"
"2017","18719.47"
"2018","18877.08"
"2019","18797.96"
