"Year","Division 8"
"2006","20073.73"
"2007","20143.43"
"2008","20201.79"
"2009","20246.75"
"2010","20270.30"
"2011","20313.43"
"2012","20247.82"
"2013","20118.28"
"2014","19849.40"
"2015","19515.87"
"2016","19246.28"
"2017","19087.90"
"2018","19000.68"
"2019","18970.94"
