"Year","Division 3"
"2006","18573.27"
"2007","18905.60"
"2008","19336.92"
"2009","19817.17"
"2010","20223.13"
"2011","20641.38"
"2012","21158.35"
"2013","21273.14"
"2014","21378.75"
"2015","21354.57"
"2016","21201.17"
"2017","21162.25"
"2018","21179.09"
"2019","21247.65"
