gender_rank,occupation,gender,individuals,average_taxable_income
795,Abattoir process worker; Meat process worker; Meatworker – meatworker’s labourer,Female,5961,36359
881,Abattoir process worker; Meat process worker; Meatworker – meatworker’s labourer,Male,17241,40954
699,Aboriginal and Torres Strait Islander education worker,Female,1386,40926
828,Aboriginal and Torres Strait Islander education worker,Male,636,44077
641,Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker,Female,1878,43545
760,Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker,Male,903,47833
200,Accountant; Bank accountant; Chartered accountant; Financial analyst,Female,78380,71552
136,Accountant; Bank accountant; Chartered accountant; Financial analyst,Male,77112,105107
157,Accounting practice manager; Architectural practice manager; Legal practice manager; Manager – other practice; Veterinary practice manager,Female,28263,77421
99,Accounting practice manager; Architectural practice manager; Legal practice manager; Manager – other practice; Veterinary practice manager,Male,46486,115908
577,Accounts clerk; Finance officer,Female,81718,47153
508,Accounts clerk; Finance officer,Male,16628,64667
827,Actor,Female,2670,34736
936,Actor,Male,3481,36624
491,Actuarial clerk; Statistical clerk Clerical and office,Female,614,51681
532,Actuarial clerk; Statistical clerk Clerical and office,Male,498,62893
35,Actuary,Female,577,136819
45,Actuary,Male,1208,196144
801,Acupuncturist,Female,208,35944
829,Acupuncturist,Male,139,43983
639,Administration assistant; Office worker,Female,293738,43604
803,Administration assistant; Office worker,Male,36889,45784
566,Administrative service officer – levels 1–2; Public servant – administrative service officer – levels 1–2,Female,26782,47529
592,Administrative service officer – levels 1–2; Public servant – administrative service officer – levels 1–2,Male,6992,58373
433,Administrative service officer – levels 3–4; Public servant – administrative service officer – levels 3–4,Female,44509,54990
492,Administrative service officer – levels 3–4; Public servant – administrative service officer – levels 3–4,Male,14636,65541
267,Administrative service officer – levels 5–6; Program or project administrator; Public servant – administrative service officer – levels 5–6,Female,64080,64863
