Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Azerbaijan,AZE,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704500,1715800.049,1723599.976,1726300.049,1784800.049,1801199.951,1809699.951,1824900.024,1825599.976,1835699.951,1837300.049,1838500,1840699.951,1843199.951,1841300.049,1854000,1860199.951,1874000,1884099.976,1885699.951,1896800.049,1925300.049,1926500,1937699.951,1999000,,,
Burundi,BDI,Arable land (hectares),AG.LND.ARBL.HA,,675000,700000,724000,744000,756000,753000,788000,800000,992000,940000,929000,896000,930000,930000,930000,935000,942000,935000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,940000,940000,950000,950000,960000,960000,975000,986000,990000,985000,956000,900000,850000,900000,950000,950000,1000000,1100000,1200000,1200000,1200000,1200000,,,
Belgium,BEL,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862000,845000,832000,835000,840000,843000,842000,839000,844000,840000,834000,825000,803000,816000,817000,829500,849400.0244,,,
Benin,BEN,Arable land (hectares),AG.LND.ARBL.HA,,920000,940000,960000,980000,1000000,1030000,1070000,1100000,1180000,1200000,1250000,1280000,1300000,1330000,1370000,1400000,1430000,1450000,1470000,1500000,1530000,1550000,1560000,1570000,1580000,1590000,1600000,1610000,1620000,1615000,1620000,1630000,1650000,1700000,1790000,1950000,2100000,2250000,2300000,2380000,2450000,2550000,2650000,2750000,2700000,2500000,2500000,2600000,2450000,2540000,2580000,2700000,2700000,2700000,2700000,2700000,,,
Burkina Faso,BFA,Arable land (hectares),AG.LND.ARBL.HA,,2124000,2134000,2144000,2149000,2159000,2170000,2180000,2190000,2202000,2216000,2200000,2282000,2353000,2433000,2506000,2550000,2600000,2650000,2700000,2745000,2790000,2840000,2885000,2930000,2980000,3025000,3075000,3494000,3530000,3505000,3480000,3455000,3430000,3361000,3380000,3480000,3780000,3900000,3900000,3700000,4500000,4700000,5100000,4600000,4900000,4700000,4900000,6000000,5700000,6000000,5700000,6000000,6200000,6000000,6000000,6000000,,,
Bangladesh,BGD,Arable land (hectares),AG.LND.ARBL.HA,,8605000,8597000,8605000,8640000,8777000,8798000,8843000,8829000,8810000,8837000,8837000,9133000,9131000,9131000,9144000,9138000,9131000,9125000,9118000,9121000,9109000,9104000,9089000,9185000,9152000,9161000,9235000,9537000,9553000,9456000,9385000,8609000,8506000,8408000,8404000,8357000,8390000,8454000,8436000,8350000,8303000,8253000,8228000,8143000,7911000,7880000,7816000,7803000,7796000,7791000,7678000,7670000,7678000,7669000,7732240.234,7764209.961,,,
Bulgaria,BGR,Arable land (hectares),AG.LND.ARBL.HA,,4252000,4154000,4138000,4180000,4167000,4166000,4146000,4154000,4158000,4142000,4132000,4128000,4120000,4098000,3957000,3940000,3937000,3926000,3897000,3827000,3824000,3818000,3812000,3807000,3810000,3819000,3825000,3840000,3848000,3856000,3864000,4047000,4063000,4001000,3998000,4203000,4298000,3536000,3578000,3526000,3467000,3355000,3323000,3313000,3173000,3132000,3085000,3088000,3146000,3186000,3250000,3317000,3479000,3486000,3509699.951,3496000,,,
Bahrain,BHR,Arable land (hectares),AG.LND.ARBL.HA,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1700.000048,1500,1500,1450.000048,1399.999976,1200.000048,1360.000014,1600.000024,1600.000024,1600.000024,1600.000024,1600.000024,1600.000024,1600.000024,,,
"Bahamas, The",BHS,Arable land (hectares),AG.LND.ARBL.HA,,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,8000,8000,8000,8000,8000,8000,8000,8000,8000,6000,6000,6000,6000,6000,6000,7000,7000,7000,7000,7000,7000,7000,7000,7000,9000,9000,8000,8000,8000,8000,8000,8000,,,
Bosnia and Herzegovina,BIH,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000,850000,850000,850000,900000,900000,950000,950000,1000000,1010000,997000,1017000,1028000,1025000,1027000,1022000,1008000,997000,1004000,1005000,1003000,1009000,1006000,1022000,1026000,,,
Belarus,BLR,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084000,6104000,6225000,6232000,6230000,6175000,6187000,6182000,6133000,5761000,5616000,5569000,5548000,5542000,5540000,5519000,5516000,5544000,5535000,5529000,5522000,5559700.195,5662100.098,5677399.902,5683799.805,,,
Belize,BLZ,Arable land (hectares),AG.LND.ARBL.HA,,36000,36000,37000,37000,37000,38000,38000,38000,39000,39000,40000,40000,41000,41000,42000,42000,43000,43000,43000,45000,46000,46000,46000,46000,43000,44000,49000,50000,52000,52000,54000,56000,60000,60000,62000,63000,64000,64000,64000,64000,65000,70000,70000,70000,70000,70000,70000,70000,73000,75000,75000,78000,78000,78000,78000,78000,,,
Bermuda,BMU,Arable land (hectares),AG.LND.ARBL.HA,,400.000006,300.0000119,300.0000119,400.000006,400.000006,400.000006,400.000006,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,400.000006,400.000006,400.000006,400.000006,400.000006,400.000006,400.000006,400.000006,400.000006,400.000006,400.000006,400.000006,400.000006,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,300.0000119,,,
