Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Denmark,DNK,Arable land (hectares),AG.LND.ARBL.HA,,2807000,2773000,2744000,2726000,2693000,2686000,2685000,2694000,2678000,2661000,2647000,2651000,2653000,2641000,2650000,2657000,2637000,2643000,2642000,2639000,2637000,2630000,2593000,2612000,2601000,2594000,2578000,2560000,2545000,2561000,2548000,2539000,2533000,2365000,2319000,2322000,2365000,2366000,2294000,2281000,2292000,2276000,2266000,2269000,2332000,2347000,2306000,2402000,2431000,2421000,2499000,2418000,2407600.098,2432000,2353000,2375000,,,
Dominican Republic,DOM,Arable land (hectares),AG.LND.ARBL.HA,,720000,730000,740000,750000,760000,770000,780000,780000,815000,820000,826000,850000,865000,885000,915000,960000,990000,1015000,1040000,1070000,1075000,1075000,1075000,1075000,1075000,1075000,991000,991000,995000,900000,900000,900000,900000,900000,930000,935000,860000,870000,850000,898000,898000,898000,820000,820000,820000,820000,820000,800000,800000,800000,800000,800000,800000,800000,800000,800000,,,
Algeria,DZA,Arable land (hectares),AG.LND.ARBL.HA,,6472000,6300000,6200000,6132000,6203000,6221000,6301000,6243000,6233000,6248000,6380000,6510000,6512000,6544000,6845000,7092000,6904000,6892000,6846000,6875000,6885000,6881000,6592000,6915000,6910000,6967000,7069000,7101000,7129000,7081000,7260000,7562000,7533000,7477000,7519000,7521000,7650000,7661000,7673000,7662000,7583000,7547000,7503700.195,7493000,7511000,7470000,7469000,7489000,7493000,7502000,7502000,7506500,7496200.195,7469399.902,7462100.098,7404200.195,,,
East Asia & Pacific (excluding high income),EAP,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Arable land (hectares),AG.LND.ARBL.HA,,1705000,1705000,1710000,1710000,1715000,1715000,1720000,1715000,1720000,1725000,1730000,1735000,1740000,1753000,1720000,1680000,1650000,1610000,1580000,1542000,1600000,1552000,1560000,1575000,1590000,1605000,1616000,1625000,1583000,1604000,1644000,1633000,1569000,1621000,1574000,1607000,1609000,1602000,1610000,1616000,1500000,1360000,1299000,1277000,1296000,1233000,1195000,1236000,1199400.024,1186400.024,1155699.951,1147900.024,1194000,1017700.012,1067400.024,976000,,,
"Egypt, Arab Rep.",EGY,Arable land (hectares),AG.LND.ARBL.HA,,2499000,2433000,2413000,2422000,2582000,2683000,2694000,2687000,2725000,2725000,2735000,2725000,2723000,2707000,2691000,2596000,2499000,2395000,2304000,2286000,2307000,2281239.99,2264739.99,2275260.01,2305000,2318000,2288000,2310000,2296000,2284000,2267000,2615280.029,2847000,2846000,2817000,2710459.961,2778919.922,2793620.117,2994000,2801000,2861000,2936000,2906000,2965000,2563000,2605000,2564000,2642000,2884000,2873000,2808000,2829000,2707969.971,2640189.941,2865580.078,2786770.02,,,
Euro area,EMU,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498000,437000,438000,369000,391000,498000,498000,560000,562000,562000,597000,598000,620000,670000,670000,670000,690000,690000,690000,690000,690000,690000,690000,690000,,,
Spain,ESP,Arable land (hectares),AG.LND.ARBL.HA,,16246000,16296000,16205000,15919000,15966000,15509000,15740000,15692000,16082000,15690000,16339000,16288000,16054000,15918000,15821000,15657000,15630000,15640000,15578000,15558000,15569000,15565000,15592000,15651000,15564000,15565000,15584000,15577000,15512000,15335000,15258000,15201000,14982000,14806000,14045000,14450000,14285000,13684000,13463000,13400000,13064000,12909000,13017000,13025000,12913000,12720000,12586000,12488000,12497000,12528000,12429000,12570000,12181000,12278000,12278219.73,12337179.69,,,
Estonia,EST,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115000,1066000,949000,874000,884000,888000,887000,859000,843000,677000,613599.9756,545000,519299.9878,591799.9878,559099.9756,599299.9878,597799.9878,596400.0244,645000,632400.0244,620500,638000,654000,675000,696000,,,
Ethiopia,ETH,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,9932000,9940000,9927000,9900000,9950000,10000000,10000000,9908400.391,9853000,10928000,12364000,12823000,13396000,14038000,13606000,13948000,14565000,15193200.2,15346000,15119000,15119000,15119000,15119000,,,
European Union,EUU,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Arable land (hectares),AG.LND.ARBL.HA,,2664699.951,2679100.098,2695500,2709600.098,2720500,2733399.902,2742399.902,2745100.098,2611500,2573199.951,2552699.951,2462699.951,2433100.098,2445399.902,2451800.049,2461899.902,2418600.098,2410100.098,2399500,2369000,2352699.951,2324699.951,2311399.902,2289699.951,2274800.049,2259600.098,2279199.951,2246399.902,2260699.951,2268899.902,2299699.951,2284399.902,2275600.098,2299699.951,2143500,2123399.902,2125600.098,2167199.951,2177100.098,2188100.098,2193300.049,2205100.098,2213800.049,2220699.951,2236500,2260500,2256699.951,2259100.098,2258300.049,2254800.049,2250500,2249100.098,2224100.098,2230800.049,2242300.049,2246000,,,
Fiji,FJI,Arable land (hectares),AG.LND.ARBL.HA,,89000,89000,86000,86000,81000,81000,79000,67000,67000,67000,67000,70000,70000,70000,75000,80000,85000,90000,90000,90000,95000,100000,105000,110000,120000,120000,130000,140000,150000,160000,171000,180000,180000,180000,180000,180000,180000,170000,170000,170000,170000,170000,170000,170000,170000,170000,169000,169000,167600.0061,165000,165000,165000,165000,165000,165000,165000,,,
France,FRA,Arable land (hectares),AG.LND.ARBL.HA,,19606000,19530000,19455000,19078000,18796000,18463000,18076000,17579000,17565000,17417000,17056000,17027000,17096000,17278000,17333000,17131000,17265000,17353000,17401000,17472000,17526000,17651000,17669000,17809000,17923000,17998000,18167000,17813000,17709900.39,17784800.78,17831300.78,17846900.39,18033800.78,18096199.22,18173099.61,18205000,18270099.61,18318000,18353099.61,18354400.39,18345900.39,18371500,18354800.78,18368000,18377599.61,18339000,18286199.22,18268699.22,18256199.22,18300699.22,18274400.39,18281699.22,18305699.22,18333099.61,18478699.22,18355919.92,,,
Faroe Islands,FRO,Arable land (hectares),AG.LND.ARBL.HA,,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,,
"Micronesia, Fed. Sts.",FSM,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2000,2000,2000,2000,2000,2000,2000,2000,,,
Gabon,GAB,Arable land (hectares),AG.LND.ARBL.HA,,90000,100000,110000,120000,130000,140000,150000,160000,170000,180000,190000,200000,210000,220000,232000,258000,273000,287000,288000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,295000,295000,295000,295000,295000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,,,
United Kingdom,GBR,Arable land (hectares),AG.LND.ARBL.HA,,7175000,7236000,7275000,7354000,7339000,7324000,7309000,7277000,7163000,7102000,7132000,7129000,7075000,7067000,6869000,6894000,6921000,6936000,6829000,6918000,6907000,6913000,6899000,6922000,6990000,6940000,6935000,6886000,6702000,6620000,6567000,6554000,6091000,5911000,5936000,6098000,6368000,6253000,5917000,5876000,5651000,5786000,5659000,5819000,5729000,6094000,6085000,6005000,6049000,5970000,6062000,6212000,6265399.902,6233500,6011000,6026009.766,,,
Georgia,GEO,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795000,795000,795000,771000,781000,785000,792000,790000,793000,795000,799000,802000,452000,470000,462000,463000,459000,433000,395000,377399.9939,370000,415700.0122,365660.0037,367700.0122,344000,,,
Ghana,GHA,Arable land (hectares),AG.LND.ARBL.HA,,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1800000,1800000,1800000,1900000,1900000,1900000,1900000,2100000,2100000,2300000,2400000,2400000,2500000,2600000,2600000,2700000,2800000,2800000,2800000,2800000,3000000,3200000,3600000,3800000,3850000,3950000,4060000,4181000,4185000,4000000,4000000,4200000,4300000,4500000,4600000,4620000,4720000,4700000,4700000,4700000,4700000,4700000,,,
Gibraltar,GIB,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Arable land (hectares),AG.LND.ARBL.HA,,3520000,3519000,3495000,3471000,3448000,3424000,3400000,3376000,3352000,3329000,3305000,3281000,3257000,3234000,3210000,3186000,3162000,3138000,3115000,3091000,3067000,3043000,3019000,2996000,2972000,2948000,2924000,2901000,2877000,2853000,2829000,2805000,2782000,2758000,2734000,2617000,2500000,2385000,2200000,2149000,2200000,2390000,2475000,2550000,2741000,2750000,2800000,2850000,2850000,2900000,2900000,3000000,3100000,3100000,3100000,3100000,,,
"Gambia, The",GMB,Arable land (hectares),AG.LND.ARBL.HA,,121000,122000,123000,124000,125000,126000,128000,128000,130000,130000,133000,138000,143000,170000,164000,163000,170000,177000,166000,159000,181000,202000,183000,169000,169000,177000,184000,199000,181000,187000,196000,162000,161000,180000,185000,190000,205000,200000,240000,280000,300000,280000,300000,310000,325000,293000,303000,372000,428000,450000,450000,440000,440000,440000,440000,440000,,,
Guinea-Bissau,GNB,Arable land (hectares),AG.LND.ARBL.HA,,235000,235000,235000,235000,235000,235000,245000,245000,245000,245000,245000,245000,250000,255000,255000,255000,255000,255000,255000,255000,257000,270000,280000,285000,290000,250000,240000,230000,240000,250000,250000,250000,270000,280000,280000,270000,270000,260000,280000,300000,300000,280000,270000,280000,280000,280000,280000,280000,280000,300000,300000,300000,300000,300000,300000,300000,,,
Equatorial Guinea,GNQ,Arable land (hectares),AG.LND.ARBL.HA,,110000,115000,120000,121000,121000,125000,125000,125000,125000,125000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,120000,120000,120000,120000,120000,120000,120000,120000,,,
Greece,GRC,Arable land (hectares),AG.LND.ARBL.HA,,2794000,2863000,3057000,3001000,2991000,2995000,3020000,3053000,3017000,3010000,2991000,2985000,2957000,2948000,2908000,2888000,2868000,2923000,2929000,2903000,2925000,2928000,2900000,2922000,2890000,2879000,2870000,2863000,2893000,2899000,2867000,2864000,2839000,2836000,2821000,2810000,2789000,2784000,2762000,2741000,2720000,2717000,2712000,2629000,2639000,2584000,2567000,2556000,2547000,2567000,2552000,2540000,2510000,2224000,2171000,2140000,,,
Grenada,GRD,Arable land (hectares),AG.LND.ARBL.HA,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4000,4000,4000,4000,4000,4000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2000,2000,2000,2000,2000,2000,2000,2000,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,2000,2000,2000,2000,3000,3000,3000,3000,3000,3000,3000,3000,,,
Greenland,GRL,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,400,400,400,500,500,600,600,600,600,700,700,700,700,800,800,900,900,900,900,900,900,900,900,900,900,900,900,900,900,,,,
Guatemala,GTM,Arable land (hectares),AG.LND.ARBL.HA,,1100000,1100000,1100000,1100000,1100000,1100000,1110000,1110000,1100000,1100000,1100000,1120000,1150000,1170000,1170000,1200000,1250000,1250000,1249000,1270000,1275000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1324000,1354000,1355000,1361000,1370000,1380000,1390000,1395000,1405000,1425000,1938000,1600000,1400000,1506000,1576000,1325000,1260540.039,1196079.956,1131619.995,1067160.034,1002700.012,933799.9878,862000,862000,,,
Guam,GUM,Arable land (hectares),AG.LND.ARBL.HA,,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,
Guyana,GUY,Arable land (hectares),AG.LND.ARBL.HA,,350000,350000,350000,350000,350000,355000,355000,355000,355000,360000,360000,360000,362000,362000,364000,393000,422000,451000,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,450000,450000,450000,450000,450000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,,,
High income,HIC,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Arable land (hectares),AG.LND.ARBL.HA,,13000,13000,13000,12000,12000,12000,12000,12000,12000,12000,11000,11000,11000,11000,9000,9000,8000,8000,8000,7000,7000,7000,7000,7000,7000,7000,7000,7000,6000,6000,6000,6000,6000,6000,6000,6000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4000,4000,4000,4000,3500,3500,3099.999905,3099.999905,3099.999905,3099.999905,3000,,,
Honduras,HND,Arable land (hectares),AG.LND.ARBL.HA,,1295000,1305000,1310000,1313000,1318000,1324000,1330000,1332000,1328000,1330000,1333000,1368000,1378000,1384000,1413000,1438000,1503000,1504000,1494000,1484000,1481000,1476000,1467000,1464000,1455000,1451000,1441000,1431000,1446000,1462000,1492000,1515000,1683000,1650000,1600000,1600000,1520000,1520000,1468000,1068000,1068000,1068000,1068000,1050000,1050000,1050000,1050000,1018000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,,,
Heavily indebted poor countries (HIPC),HPC,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212000,1062000,1104000,1117000,986000,983000,1089000,1068000,842000,853000,858000,864000,847000,873000,881000,852000,860700.0122,868299.9878,904400.0244,896700.0122,906400.0244,876400.0244,813200.0122,844099.9756,872000,,,
Haiti,HTI,Arable land (hectares),AG.LND.ARBL.HA,,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,768000,768000,768000,768000,770000,770000,780000,780000,780000,780000,780000,780000,780000,780000,780000,780000,780000,780000,780000,780000,780000,780000,800000,800000,800000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,1050000,1000000,1026329.956,1100000,1060000,1000000,1070000,1070000,1070000,1070000,,,
Hungary,HUN,Arable land (hectares),AG.LND.ARBL.HA,,5194000,5192000,5195000,5213000,5229000,5225000,5215000,5207000,5200000,5193000,5184000,5177000,5176000,5129000,5128000,5108000,5071000,5046000,5037000,5027000,5031000,5019000,5020000,5027000,5036000,5043000,5048000,5050000,5052000,5054000,5056000,4742000,4748000,4749000,4806000,4811000,4820000,4819000,4815000,4602000,4606000,4606000,4597000,4598000,4601000,4597000,4592000,4585000,4585000,4392000,4395000,4397000,4316000,4322000,4324000,4324000,,,
IBRD only,IBD,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,IBT,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,IDA,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,Arable land (hectares),AG.LND.ARBL.HA,,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18021000,19500000,20178000,21170000,21156000,20860000,20253000,18081000,18100000,18129000,17126000,17342000,17941000,18500000,18700000,19700000,20500000,20200000,20081000,22406000,24666000,22946000,21500000,22000000,22700000,23600000,23600000,23500000,23500000,23500000,23500000,23500000,23500000,,,
IDA only,IDX,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,Arable land (hectares),AG.LND.ARBL.HA,,25000,25000,24700.00076,24200.00076,24399.99962,23200.00076,23100.00038,22799.99924,22600.00038,21799.99924,21200.00076,21000,20799.99924,21100.00038,20899.99962,21200.00076,21399.99962,21600.00038,21899.99962,22200.00076,22000,21799.99924,21500,21299.99924,21100.00038,20899.99962,20700.00076,20500,20299.99924,20100.00038,19899.99962,19700.00076,19500,19299.99924,19100.00038,18899.99962,18700.00076,18500,18299.99924,18100.00038,17899.99962,18500,17569.99969,18100.00038,17809.99947,27959.99908,27520.00046,27280.00069,25620.00084,25379.99916,24969.99931,21500,21899.99962,22100.00038,23200.00076,23500,,,
India,IND,Arable land (hectares),AG.LND.ARBL.HA,,155806000,156700000,157470000,157732000,158216000,158590000,159780000,160069000,159976000,160560000,159756000,160186000,161044000,161501000,161838000,162057000,162059000,163239000,163444000,162854000,162912000,163246000,162732000,163618000,163540000,163409000,163205000,162868000,163476000,163459000,163182000,162706000,162586000,162525000,161911000,161025000,161601000,161409000,160975000,160930000,160325000,160432000,159799000,159681000,159444000,158662000,158022000,157995000,157924000,157009000,156979000,156546000,156442000,156463000,156463000,156463000,,,
Not classified,INX,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Arable land (hectares),AG.LND.ARBL.HA,,1590000,1567000,1561000,1526000,1492000,1429000,1424000,1394000,1381000,1377000,1363000,1333000,1283000,1253000,1234000,1208000,1183000,1158000,1133000,1108000,1083000,1058000,1017000,1041000,1029000,1007000,980000,1027000,1052000,1041000,1029000,1003000,1023000,1014000,1030000,1059000,1035000,1085000,1076000,1077000,1188000,1177000,1182000,1205000,1184000,1153000,1060000,1101000,1089000,1011000,1062000,1170000,1113000,1058000,453000,446000,,,
"Iran, Islamic Rep.",IRN,Arable land (hectares),AG.LND.ARBL.HA,,14980000,14990000,15000000,15010000,15020000,15030000,15050000,15100000,15120000,15150000,15581000,16227000,16901000,16370000,15850000,15330000,14969000,14192000,15194000,12981000,13550000,14141000,14400000,14650000,14900000,15150000,15400000,15580000,15400000,15190000,16681000,16969000,17332000,17337000,17388000,17097000,16502000,16837000,16337000,14924000,15861000,16029000,16197000,16365000,16533000,16701000,16869000,15545000,15566000,15390000,15214000,15038000,14687000,14687000,14687000,14687000,,,
Iraq,IRQ,Arable land (hectares),AG.LND.ARBL.HA,,4600000,4650000,4700000,4750000,4800000,4800000,4850000,4850000,4850000,4848000,4848000,5000000,5000000,5100000,5100000,5100000,5100000,5200000,5250000,5250000,5250000,5250000,5250000,5250000,5250000,5250000,5250000,5300000,5000000,5000000,5400000,5300000,5600000,5050000,4800000,4800000,4400000,4650000,4550000,4100000,4300000,4650000,4500000,4500000,5200000,4800000,4950000,4000000,3650000,4000000,4300000,4318500,4613750,5019000,5000000,5000000,,,
Iceland,ISL,Arable land (hectares),AG.LND.ARBL.HA,,120000,120000,120000,120000,120000,120000,120000,120000,120000,121000,122000,123000,124000,125000,126000,127000,129000,130000,131000,133000,133000,134000,134000,134000,134000,135000,135000,135000,135000,136000,136000,136000,135000,135000,135000,134000,133000,130000,129000,129000,129000,129000,129000,129000,129000,129000,125000,125000,124000,123000,122199.9969,121199.9969,121199.9969,121199.9969,121000,121000,,,
Israel,ISR,Arable land (hectares),AG.LND.ARBL.HA,,318000,309000,320000,322000,312000,322000,323000,322000,321000,325000,326000,325000,334000,339000,336000,325000,325000,325000,325000,325000,325000,325000,315000,328000,327000,338000,339000,339000,338000,343000,347000,347000,347000,349000,345000,336000,336000,335000,333000,338000,342000,349000,334000,311000,311000,303000,305799.9878,299700.0122,304299.9878,293600.0061,295700.0122,294799.9878,285799.9878,300500,297200.0122,295000,,,
Italy,ITA,Arable land (hectares),AG.LND.ARBL.HA,,12862000,12795000,12674000,12598000,12524000,12444000,12389000,12346000,12221000,11984000,9511000,9393000,9288000,9319000,9330000,9364000,9359000,9451000,9476000,9483000,9466000,9458000,9128000,9097000,9050000,9086000,9065000,8958000,8993000,9012000,8900000,8750000,8550000,8329000,8283000,8332000,8253000,8329000,8545000,8479000,8339000,8287000,7959000,7979000,7780000,7376000,7171000,7498000,6981000,7042000,6720000,7118000,6827000,6728000,6601000,6602000,,,
Jamaica,JAM,Arable land (hectares),AG.LND.ARBL.HA,,166000,166000,166000,166000,150000,150000,155000,155000,155000,145000,145000,145000,145000,145000,145000,145000,145000,145000,135000,135000,135000,125000,115000,115000,115000,115000,115000,115000,120000,119000,126000,136000,174000,161000,158000,155000,150000,145000,143000,140000,140000,135000,135000,133000,128000,128000,125000,120000,120000,120000,120000,120000,120000,120000,120000,120000,,,
Jordan,JOR,Arable land (hectares),AG.LND.ARBL.HA,,270000,272000,273000,275000,276000,278000,279000,281000,282000,284000,285000,287000,288000,290000,291000,293000,294000,296000,297000,299000,290600.0061,296100.0061,304000,212100.0061,276799.9878,276799.9878,303000,308000,292799.9878,179199.9969,149399.9939,259700.0122,229000,211000,252000,180000,187000,190000,190000,190000,192000,195000,177000,209000,185000,190000,140300.0031,149500,200800.0031,177600.0061,175600.0061,217000,231000,237500,227899.9939,237259.9945,,,
Japan,JPN,Arable land (hectares),AG.LND.ARBL.HA,,5660000,5620000,5570000,5530000,5478000,5453000,5377000,5320000,5162000,5196000,5125000,5057000,5015000,4978000,4945000,4921000,4911000,4898000,4882000,4874000,4861000,4852000,4843000,4836000,4830000,4820000,4814000,4806000,4792000,4768000,4740000,4714000,4685000,4660000,4630000,4602000,4569000,4535000,4503000,4474000,4444000,4419000,4397000,4379000,4360000,4343000,4326000,4308000,4294000,4282000,4254000,4246000,4238000,4222000,4205000,4184000,,,
Kazakhstan,KAZ,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35055000,35040000,34683000,34716500,33007601.56,32551800.78,32154800.78,32056300.78,30159300.78,29359699.22,28345900.39,28343599.61,28478800.78,28562300.78,28616000,28641199.22,28519800.78,28618199.22,28683800.78,29180599.61,29332500,29394699.22,29395000,29395000,29395000,,,
Kenya,KEN,Arable land (hectares),AG.LND.ARBL.HA,,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3800000,3800000,3800000,3800000,3800000,3800000,3800000,3800000,3800000,3725000,4574000,4593000,4655000,4882000,5273000,4990000,5097000,5292000,5060000,5452000,5438000,4671000,4814000,4678000,5096000,4891000,5128000,5091000,5146000,5258000,5264000,5310000,5300000,5300000,5500000,5500000,5800000,5900000,5800000,5800000,5800000,5800000,,,
Kyrgyz Republic,KGZ,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320000,1352000,1305000,1258000,1357000,1358000,1360000,1368000,1356000,1344000,1345000,1344000,1334000,1284000,1283699.951,1280000,1279500,1276000,1276199.951,1275900.024,1276599.976,1278699.951,1280599.976,1281000,1288000,,,
Cambodia,KHM,Arable land (hectares),AG.LND.ARBL.HA,,2838000,2850000,2850000,2900000,2900000,2900000,2902000,2850000,2750000,2693000,1800000,1800000,1800000,1850000,1850000,1900000,1900000,1950000,1950000,2000000,2000000,2030000,2040000,2040000,2300000,2600000,3000000,3450000,3685000,3695000,3700000,3700000,3716000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3800000,3800000,3800000,3800000,3800000,3800000,3800000,,,
Kiribati,KIR,Arable land (hectares),AG.LND.ARBL.HA,,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,
St. Kitts and Nevis,KNA,Arable land (hectares),AG.LND.ARBL.HA,,10000,10000,10000,10000,10000,10000,10000,10000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,7000,7000,6000,6000,6000,7000,7000,7000,7000,7000,7000,3970.000029,3980.000019,3990.00001,4000,4000,4500,5000,5000,5000,5000,5000,5000,,,
"Korea, Rep.",KOR,Arable land (hectares),AG.LND.ARBL.HA,,2033000,1998000,2010000,2091000,2163000,2187000,2196000,2174000,2156000,2153000,2134000,2104000,2095000,2075000,2061000,2060000,2067000,2079000,2069000,2060000,2051000,2049000,2032000,2017000,2009000,2004000,2007000,1997000,1978000,1953000,1927000,1898000,1875000,1845000,1783000,1745000,1722000,1708000,1699000,1718000,1689000,1674000,1659000,1653000,1643000,1619000,1597000,1565000,1536000,1507000,1488000,1522199.951,1495800.049,1476000,1464500,1421000,,,
